Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Joe Young,PG,24,IND,33,0,135,6.9,19.2,0.361,1.3,6.1,0.217,5.6,13.1,0.429,2.9,4,0.733,0.3,4.3,4.5,4,1.1,0,1.3,1.3,18.1
Delon Wright,PG,24,TOR,27,0,446,4,9.4,0.422,0.8,2.4,0.333,3.1,6.9,0.453,3.4,4.4,0.764,1.3,2.6,3.9,4.6,2.2,0.9,2,2.5,12.1
Deron Williams,PG,32,TOT,64,44,1657,5.7,13,0.438,1.8,5.1,0.363,3.9,8,0.486,2,2.4,0.826,0.3,2.9,3.2,7.8,0.7,0.2,3,3,15.2
Isaiah Whitehead,PG,21,BRK,73,26,1643,4.5,11.1,0.402,1,3.3,0.295,3.5,7.9,0.446,2,2.5,0.805,0.7,3.3,4,4.2,0.9,0.8,3.1,3.8,11.9
Russell Westbrook,PG,28,OKC,81,81,2802,10.6,24.9,0.425,2.6,7.5,0.343,8,17.4,0.459,9.1,10.8,0.845,1.8,9.3,11.1,10.8,1.7,0.4,5.6,2.4,32.9
Briante Weber,PG,24,TOT,20,0,205,4.4,10.5,0.417,0.2,1.8,0.1,4.2,8.8,0.48,1.9,2.8,0.688,1.4,3.2,4.6,3.7,2.1,0.2,1.4,2.8,10.9
C.J. Watson,PG,32,ORL,62,9,1012,3.4,8.8,0.387,1.1,3.7,0.305,2.3,5.1,0.448,2,2.3,0.864,0.6,2.6,3.2,4.1,1.5,0.1,1.7,3,10
John Wall,PG,26,WAS,78,78,2836,8.2,18.2,0.451,1.1,3.5,0.327,7.1,14.8,0.48,5.4,6.7,0.801,0.7,3.4,4.1,10.5,2,0.6,4.1,1.9,22.9
Kemba Walker,PG,26,CHO,79,79,2739,8.5,19,0.444,3.2,7.9,0.399,5.3,11.1,0.476,4,4.7,0.847,0.6,3.5,4,5.7,1.1,0.3,2.2,1.6,24.1
Greivis Vasquez,PG,30,BRK,3,0,39,1.8,7.4,0.25,0.9,2.8,0.333,0.9,4.6,0.2,1.8,2.8,0.667,0,1.8,1.8,4.6,0.9,0.9,0.9,5.5,6.5
Fred VanVleet,PG,22,TOR,37,0,294,4.8,13.6,0.351,1.3,3.6,0.379,3.4,10,0.341,2.2,2.7,0.818,0.5,4.7,5.1,4.3,2,0.4,1.8,4.4,13.1
Tyler Ulis,PG,21,PHO,61,15,1123,5.9,14,0.421,0.7,2.5,0.266,5.2,11.5,0.455,1.8,2.3,0.775,0.6,2.4,3,7.2,1.5,0.2,2.5,2.3,14.2
Beno Udrih,PG,34,DET,39,0,560,5.9,12.7,0.467,0.7,2.1,0.344,5.2,10.6,0.491,2.1,2.2,0.941,0.4,3.3,3.7,8.4,0.8,0,2.3,1.9,14.6
Isaiah Thomas,PG,27,BOS,76,76,2569,9.6,20.6,0.463,3.4,9.1,0.379,6.1,11.6,0.528,8.3,9.1,0.909,0.6,2.3,2.9,6.3,1,0.2,2.9,2.3,30.8
Jeff Teague,PG,28,IND,82,82,2657,5.4,12.3,0.442,1.2,3.4,0.357,4.2,8.9,0.475,4.9,5.6,0.867,0.4,4,4.5,8.7,1.4,0.4,2.9,2.2,17
Isaiah Taylor,PG,22,HOU,4,0,52,0.7,4.8,0.143,0,1.4,0,0.7,3.5,0.2,0.7,1.4,0.5,0.7,1.4,2.1,2.1,0.7,0.7,0,4.2,2.1
Rodney Stuckey,PG,30,IND,39,0,696,4.7,12.6,0.373,1,3.1,0.317,3.7,9.5,0.391,4.1,5.5,0.748,0.3,4,4.3,4.3,0.8,0,2.7,2.3,14.5
Ish Smith,PG,28,DET,81,32,1955,6.1,13.8,0.439,0.5,1.9,0.267,5.5,11.9,0.467,1.3,1.9,0.706,0.4,3.9,4.3,7.7,1.1,0.6,2.1,2.3,14
Ramon Sessions,PG,30,CHO,50,1,811,4.4,11.7,0.38,0.9,2.8,0.339,3.5,8.9,0.393,4,5.2,0.771,0.5,2.8,3.2,5.7,1.2,0.1,2,1.9,13.8
Dennis Schroder,PG,23,ATL,79,78,2485,7.9,17.6,0.451,1.4,4.3,0.34,6.5,13.3,0.487,3.2,3.7,0.855,0.6,3,3.6,7.2,1.1,0.2,3.7,2.2,20.5
D'Angelo Russell,PG,20,LAL,63,60,1811,7,17.2,0.405,2.7,7.6,0.352,4.3,9.6,0.447,2.9,3.7,0.782,0.6,3.8,4.4,6,1.7,0.3,3.5,2.6,19.6
Ricky Rubio,PG,26,MIN,75,75,2469,3.8,9.5,0.402,0.9,2.9,0.306,2.9,6.6,0.443,3.7,4.2,0.891,1,3.5,4.4,9.9,1.9,0.1,2.8,2.9,12.2
Terry Rozier,PG,22,BOS,74,0,1263,4.3,11.7,0.367,1.6,5.1,0.318,2.7,6.6,0.405,1.5,1.9,0.773,1.1,5.3,6.5,3.7,1.3,0.3,1.3,2,11.7
Derrick Rose,PG,28,NYK,64,64,2082,8,16.9,0.471,0.2,1,0.217,7.7,15.9,0.487,3.8,4.4,0.874,1.1,3.1,4.3,4.9,0.8,0.3,2.5,1.5,20
Rajon Rondo,PG,30,CHI,69,42,1843,4.5,11,0.408,1,2.6,0.376,3.5,8.4,0.418,0.6,1,0.6,1.4,5.5,6.9,9,1.9,0.2,3.3,2.8,10.5
Sergio Rodriguez,PG,30,PHI,68,30,1518,5,12.7,0.392,2.2,6,0.365,2.8,6.7,0.415,0.4,0.6,0.667,0.5,3.2,3.7,8.2,1.2,0.1,3,2.3,12.6
Brian Roberts,PG,31,CHO,41,2,416,4,10.6,0.377,1.5,3.8,0.386,2.5,6.8,0.372,2.9,3.4,0.846,0.4,2.9,3.4,4.5,0.8,0.1,2.3,1.6,12.3
Chasson Randle,PG,23,TOT,26,0,299,4.8,11.8,0.408,1.9,5.7,0.34,2.9,6.1,0.471,4.9,5.2,0.953,0.7,3.1,3.9,4.1,1.1,0.2,2.3,4.7,16.5
Ronnie Price,PG,33,PHO,14,0,134,1.1,6.4,0.167,0.8,4.6,0.176,0.3,1.9,0.143,0.8,1.1,0.75,0.8,2.1,3,4.8,3,0.3,0.8,3.8,3.8
Gary Payton,PG,24,MIL,6,0,99,2.9,8,0.364,0.4,3.3,0.111,2.5,4.7,0.538,1.1,1.8,0.6,0,4.4,4.4,4.7,1.1,1.5,3.6,3.3,7.3
Elfrid Payton,PG,22,ORL,82,58,2412,6.4,13.6,0.471,0.6,2.2,0.274,5.8,11.4,0.509,2.2,3.1,0.692,1.3,4.4,5.8,7.9,1.3,0.6,2.7,2.6,15.6
Cameron Payne,PG,22,TOT,31,0,462,5,15,0.332,2.1,6.7,0.314,2.9,8.3,0.346,0.4,0.6,0.625,0.2,3.5,3.7,4.3,1.1,0.3,2.3,4.1,12.5
Chris Paul,PG,31,LAC,61,61,1921,7,14.7,0.476,2.3,5.7,0.411,4.7,9.1,0.518,4.3,4.9,0.892,0.7,4.9,5.7,10.6,2.2,0.1,2.8,2.7,20.7
Tony Parker,PG,34,SAS,63,63,1587,6,12.9,0.466,0.5,1.6,0.333,5.5,11.3,0.484,1.9,2.7,0.726,0.2,2.4,2.6,6.5,0.8,0,2,2.1,14.5
Raul Neto,PG,24,UTA,40,0,346,4.3,9.5,0.451,1,3.2,0.323,3.2,6.2,0.517,0.8,0.9,0.889,0.4,2.7,3.1,3.5,2.2,0.5,1.6,5,10.4
Jameer Nelson,PG,34,DEN,75,39,2045,4.7,10.6,0.444,1.9,4.8,0.388,2.9,5.8,0.489,0.8,1.1,0.714,0.5,2.9,3.4,6.8,1,0.1,2.3,3.5,12.1
Shabazz Napier,PG,25,POR,53,2,512,5.1,12.9,0.399,2.4,6.5,0.37,2.7,6.4,0.429,2.7,3.4,0.776,0.6,3.7,4.3,4.7,2.3,0.1,2.9,2.7,15.3
Dejounte Murray,PG,20,SAS,38,8,322,5.6,13,0.431,1,2.6,0.391,4.6,10.4,0.441,2.3,3.4,0.7,0.7,4,4.7,5.4,0.9,0.7,4.2,3.2,14.5
Emmanuel Mudiay,PG,20,DEN,55,41,1406,5.3,14.1,0.377,1.4,4.6,0.315,3.9,9.6,0.408,3.4,4.3,0.784,0.7,3.8,4.6,5.6,1,0.3,3.1,2.4,15.4
Patty Mills,PG,28,SAS,80,8,1754,5.6,12.7,0.44,3,7.3,0.414,2.6,5.5,0.474,1.4,1.6,0.825,0.5,2.4,2.9,5.7,1.3,0.1,2.1,2.2,15.6
T.J. McConnell,PG,24,PHI,81,51,2133,4,8.6,0.461,0.2,0.9,0.2,3.8,7.7,0.492,1.2,1.5,0.811,0.7,3.6,4.2,9,2.3,0.2,2.7,2.3,9.4
Shelvin Mack,PG,26,UTA,55,9,1205,5.1,11.4,0.446,1.1,3.6,0.308,4,7.8,0.51,1.6,2.3,0.688,0.6,3.1,3.7,4.6,1.3,0.1,2.7,3,12.8
John Lucas III,PG,34,MIN,5,0,11,3.3,13.1,0.25,0,3.3,0,3.3,9.8,0.333,0,0,,0,0,0,3.3,6.5,0,0,0,6.5
Kyle Lowry,PG,30,TOR,60,60,2244,6.8,14.7,0.464,3.1,7.5,0.412,3.7,7.2,0.518,4.8,5.9,0.819,0.8,3.8,4.6,6.7,1.4,0.3,2.8,2.7,21.6
Shaun Livingston,PG,31,GSW,76,3,1345,4.6,8.5,0.547,0,0.1,0.333,4.6,8.4,0.55,1.1,1.6,0.7,0.7,3.3,4,3.7,1,0.5,1.7,3.2,10.4
Jeremy Lin,PG,28,BRK,36,33,883,7.1,16.3,0.438,2.4,6.4,0.372,4.8,9.9,0.48,4.7,5.7,0.816,0.4,5.1,5.5,7.5,1.7,0.6,3.5,3.2,21.3
Damian Lillard,PG,26,POR,75,75,2694,8.8,19.9,0.444,2.9,7.7,0.37,6,12.1,0.492,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2,27
Ty Lawson,PG,29,SAC,69,24,1732,4.9,10.8,0.454,0.7,2.5,0.288,4.2,8.4,0.502,3.6,4.5,0.797,0.9,2.8,3.7,6.9,1.5,0.1,2.7,2.5,14.2
Nicolas Laprovittola,PG,27,SAS,18,3,174,4.1,9.7,0.426,2.1,5.6,0.37,2.1,4.1,0.5,1.9,1.9,1,0.2,1.9,2.1,5.8,0.8,0.2,3.9,3.9,12.2
